Speaker_ID,Start_Time,End_Time,Duration_Seconds,Word_Count,Confidence,Reason,Content
1,2025-08-18T13:26:38.997,2025-08-18T13:26:41.413,0.75,9,high,first speaker,So we're gonna go ahead and get started. Um
2,2025-08-18T13:26:45.097,2025-08-18T13:26:52.313,1.5,34,high,long pause (3.7s),"so I would ask the folks in the back who are still mingling around and chatting. Uh, if you want to continue your conversation, uh, you can take it outside or in the hallway."
3,2025-08-18T13:27:01.097,2025-08-18T13:27:06.213,1.25,20,high,long pause (8.8s),"So Tom Patterson, Charlotte Little. We'll see you back there. OK, we're gonna need to quiet down in the back"
4,2025-08-18T13:27:10.663,2025-08-18T13:27:12.68,0.75,12,high,long pause (4.5s); formal introduction,"Yeah, I, I'm not wearing my glasses. I can't see everyone, um."
5,2025-08-18T13:27:14.83,2025-08-18T13:27:15.08,0.25,6,high,long pause (2.1s),"so our next panel, our first"
6,2025-08-18T13:27:17.097,2025-08-18T13:27:20.88,0.75,15,high,long pause (2.0s),"panel after lunch is local food access, suppliers, community partners, and the role of state"
7,2025-08-18T13:27:22.897,2025-08-18T13:27:24.947,0.5,13,high,long pause (2.0s),"agencies. Uh, we typically go in the order that you appear on the"
8,2025-08-18T13:27:27.097,2025-08-18T13:27:28.013,0.5,8,high,long pause (2.1s),"agenda, uh, so do we have, uh, Alina?"
9,2025-08-18T13:27:31.197,2025-08-18T13:27:33.78,0.75,17,high,long pause (3.2s); question-answer pattern,"OK, you grab a microphone, put it right in front of you, and, uh, whenever you're ready."
10,2025-08-18T13:27:45.563,2025-08-18T13:27:47.313,0.5,3,high,long pause (11.8s),Good afternoon Marks
11,2025-08-18T13:27:52.83,2025-08-18T13:27:57.88,1.25,22,high,long pause (5.5s),All right. Good afternoon everybody. My name's Elena Paisano. I am the approved supplier program director with the New Mexico Farmers Marketing
12,2025-08-18T13:27:59.397,2025-08-18T13:28:02.88,0.75,15,medium,formal introduction,Association. I'm here today to talk a little bit about the valuable investments that you
13,2025-08-18T13:28:04.93,2025-08-18T13:28:20.313,3.0,59,high,long pause (2.0s),"all have made into our food and farming economy that supports small scale producers all over the state. Um, I really appreciated some of the commentary earlier asking about, you know, in our meal programs, um, the impact in this current environment, not only for those that benefit from the food, but for our producers and land stores, so"
14,2025-08-18T13:28:21.33,2025-08-18T13:28:28.513,1.5,30,medium,formal introduction,I'm gonna do just a very high level about the approved supplier program and then rely on my colleagues up here to tell some more stories from on the ground.
15,2025-08-18T13:28:30.597,2025-08-18T13:28:30.847,0.25,6,high,long pause (2.1s),"So at its core, the approved"
